"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV1","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma",NA
"ASV2","Bacteria","Spirochaetes","Spirochaetia","Brevinematales","Brevinemataceae","Brevinema",NA
"ASV3","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas",NA
"ASV4","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Plesiomonas",NA
"ASV5","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Pseudarcicella",NA
"ASV6","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium",NA
"ASV9","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Mailhella",NA
"ASV12","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Sporichthyaceae","hgcI_clade",NA
"ASV15","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Limnohabitans",NA
"ASV16","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio",NA
"ASV17","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto_1",NA
"ASV19","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Variovorax",NA
"ASV21","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Aurantimicrobium",NA
"ASV24","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Sediminibacterium",NA
"ASV27","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Polynucleobacter",NA
"ASV29","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Paraclostridium",NA
"ASV30","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Terrisporobacter",NA
"ASV31","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Rhodoluna",NA
"ASV34","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola",NA
"ASV35","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"ASV38","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Methylophilaceae","Candidatus_Methylopumilus",NA
"ASV46","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Oscillatoriaceae","Oscillatoria_PCC-10802",NA
"ASV63","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Solitalea",NA
"ASV64","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Romboutsia",NA
"ASV65","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Methylophilaceae","Methylotenera",NA
"ASV81","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","MWH-Ta3",NA
"ASV86","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Sporichthyaceae","Candidatus_Planktophila",NA
"ASV87","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingorhabdus",NA
"ASV88","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto_13",NA
"ASV90","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Candidatus_Aquiluna",NA
"ASV98","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Methylocaldum",NA
"ASV99","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","Oligoflexaceae","Silvanigrella",NA
"ASV105","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Tabrizicola",NA
"ASV109","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Luteolibacter",NA
"ASV117","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudorhodobacter",NA
"ASV132","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae","C39",NA
"ASV138","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Candidatus_Planktoluna",NA
"ASV139","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Thiodictyon",NA
"ASV145","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Chromobacteriaceae","Chromobacterium",NA
"ASV147","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Macellibacteroides",NA
"ASV148","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Curvibacter",NA
"ASV162","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"ASV163","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Candidatus_Methylospira",NA
"ASV172","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rubellimicrobium",NA
"ASV173","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae","Z-35",NA
"ASV182","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonaceae","Methylomonas",NA
"ASV189","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Epulopiscium",NA
"ASV195","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae","Aphanizomenon_NIES81",NA
"ASV200","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Ideonella",NA
"ASV212","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Silanimonas",NA
"ASV215","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Opitutaceae","IMCC26134",NA
"ASV222","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA
"ASV226","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae","Gloeotrichia_PYH6",NA
"ASV227","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Rheinheimera",NA
"ASV228","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","GKS98_freshwater_group",NA
"ASV230","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Terrimonas",NA
"ASV231","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","CL500-29_marine_group",NA
"ASV236","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cyclobacteriaceae","Algoriphagus",NA
"ASV237","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Archangiaceae","Anaeromyxobacter",NA
"ASV242","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter",NA
"ASV243","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Porphyrobacter",NA
"ASV245","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Dinghuibacter",NA
"ASV261","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Thiocapsa",NA
"ASV265","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Chromobacteriaceae","Vogesella",NA
"ASV269","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Terrimicrobiaceae","Terrimicrobium",NA
"ASV296","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Pelomonas",NA
"ASV310","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Candidatus_Symbiobacter",NA
"ASV312","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium",NA
"ASV317","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter",NA
"ASV331","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Herbaspirillum",NA
"ASV332","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Phormidiaceae","Phormidium_IAM_M-71",NA
"ASV334","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Ferruginibacter",NA
"ASV337","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","OLB12",NA
"ASV338","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylorosula",NA
"ASV344","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","Oligoflexaceae","Oligoflexus",NA
"ASV345","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonaceae","Methylobacter",NA
"ASV352","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prolixibacteraceae","WCHB1-32",NA
"ASV355","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Perlucidibaca",NA
"ASV405","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Arenimonas",NA
"ASV408","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Neisseriaceae","Neisseria",NA
"ASV418","Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter",NA
"ASV426","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Tibeticola",NA
"ASV428","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella",NA
"ASV454","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Lacibacter",NA
"ASV467","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae","Nostoc_PCC-7107",NA
"ASV471","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae","Anabaena_XPORK15F",NA
"ASV475","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Turicibacter",NA
"ASV491","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio",NA
"ASV495","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Candidatus_Bacilloplasma",NA
"ASV507","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae","Azospira",NA
"ASV508","Bacteria","Bacteroidetes","Chlorobia","Chlorobiales","Chlorobiaceae","Chlorobium",NA
"ASV509","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"ASV523","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA
"ASV534","Bacteria","Spirochaetes","Leptospirae","Leptospirales","Leptospiraceae","RBG-16-49-21",NA
"ASV540","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_Incertae_Sedis","Alsobacter",NA
"ASV548","Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Cyanobium_PCC-6307",NA
"ASV551","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae","Anabaena_PCC-7108",NA
"ASV557","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter",NA
"ASV566","Bacteria","Acidobacteria","Holophagae","Holophagales","Holophagaceae","Geothrix",NA
"ASV584","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Parasediminibacterium",NA
"ASV602","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Nitratireductor",NA
"ASV604","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Arcicella",NA
"ASV608","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Cellulosilyticum",NA
"ASV609","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Lacihabitans",NA
"ASV611","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Bacteriovorax",NA
"ASV616","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas",NA
"ASV619","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta_2",NA
"ASV620","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Emticicia",NA
"ASV626","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Cryptosporangiaceae","Fodinicola",NA
"ASV656","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium_1",NA
"ASV660","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"ASV666","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas",NA
"ASV675","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"ASV681","Bacteria","Proteobacteria","Gammaproteobacteria","Halothiobacillales","Halothiobacillaceae","Thiovirga",NA
"ASV688","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Lamprocystis",NA
"ASV689","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Methyloparacoccus",NA
"ASV693","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Leptothrix",NA
"ASV698","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Sarcina",NA
"ASV699","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Rubrivivax",NA
"ASV700","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas",NA
"ASV708","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae","Candidatus_Accumulibacter",NA
"ASV709","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Phormidiaceae","Planktothrix_NIVA-CYA_15",NA
"ASV720","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae","Dechlorobacter",NA
"ASV722","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","Haliscomenobacter",NA
"ASV723","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Chitinibacteraceae","Chitinibacter",NA
"ASV729","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Pantoea",NA
"ASV741","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Undibacterium",NA
"ASV742","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae","Tetrasphaera",NA
"ASV751","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacter",NA
"ASV761","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae","Niveibacterium",NA
"ASV785","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Paeniclostridium",NA
"ASV803","Bacteria","Fibrobacteres","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","possible_genus_06",NA
"ASV818","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavisolibacter",NA
"ASV821","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonaceae","Methylosoma",NA
"ASV829","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Hypnocyclicus",NA
"ASV833","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cytophagaceae","Cytophaga",NA
"ASV834","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae","Anabaena_PCC-7122",NA
"ASV863","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_Incertae_Sedis","Nordella",NA
"ASV870","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Peredibacter",NA
"ASV871","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Nitrosomonadaceae","Ellin6067",NA
"ASV894","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paenirhodobacter",NA
"ASV897","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Massilia",NA
"ASV907","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Pseudoflavitalea",NA
"ASV914","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Cloacibacterium",NA
"ASV930","Bacteria","Acidobacteria","Subgroup_6","Unknown_Order","Unknown_Family","Luteitalea",NA
"ASV932","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga",NA
"ASV945","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Xenophilus",NA
"ASV947","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Rhizobacter",NA
"ASV949","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium",NA
"ASV954","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Prosthecobacter",NA
"ASV957","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Opitutaceae","Lacunisphaera",NA
"ASV967","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sandarakinorhabdus",NA
"ASV971","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Rhodoferax",NA
"ASV977","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","Candidatus_Aquirestis",NA
"ASV979","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae","Sulfuritalea",NA
"ASV985","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","OM27_clade",NA
"ASV986","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Glaciimonas",NA
"ASV992","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelothrix",NA
"ASV1000","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium",NA
"ASV1003","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Paludibacteraceae","Paludibacter",NA
"ASV1008","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","Acidibacter",NA
"ASV1010","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Methylophilaceae","Methylobacillus",NA
"ASV1013","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonaceae","pLW-20",NA
"ASV1021","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella",NA
"ASV1042","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Marinagarivorans",NA
"ASV1047","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Opitutaceae","Opitutus",NA
"ASV1049","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae","Cuspidothrix_LMECYA_163",NA
"ASV1052","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema_2",NA
